lat,long,actual,predicted,residual,resid_pct,sqft,grade,age
47.4388,-122.162,365000,467495,-102495,-28.1,2070,8,29
47.6784,-122.285,865000,779381,85618,9.9,2900,8,38
47.5646,-122.129,1038000,1205635,-167635,-16.1,3770,11,18
47.6995,-122.228,1490000,1629200,-139200,-9.3,4560,12,25
47.6647,-122.083,711000,731136,-20136,-2.8,2550,9,11
47.3947,-122.174,211000,266191,-55191,-26.2,1710,7,45
47.6596,-122.144,790000,801431,-11431,-1.4,2690,9,28
47.6599,-122.396,680000,544220,135779,20.0,1800,7,45
47.5344,-122.068,384500,373702,10797,2.8,1600,8,10
47.6341,-122.361,605000,483683,121316,20.1,910,7,106
47.6052,-122.3,638000,605467,32532,5.1,1830,8,85
47.7733,-122.317,385000,584803,-199803,-51.9,1930,7,52
47.4908,-122.223,175000,290730,-115730,-66.1,1410,7,47
47.5419,-122.289,365000,343756,21243,5.8,1960,7,12
47.7093,-121.364,160000,312841,-152841,-95.5,1140,6,105
47.5194,-122.151,1070000,1192781,-122781,-11.5,4130,11,14
47.6255,-122.209,800000,301597,498402,62.3,1430,7,61
47.6398,-121.985,795127,1142664,-347537,-43.7,4360,10,22
47.7133,-122.212,355000,342651,12348,3.5,1440,7,46
47.7434,-122.095,474000,584858,-110858,-23.4,1960,8,39
47.7074,-122.349,485000,421190,63809,13.2,1910,7,47
47.3065,-122.158,930000,1360702,-430702,-46.3,5710,11,8
47.6145,-122.001,920000,781919,138080,15.0,2590,9,32
47.7328,-122.288,560000,887211,-327211,-58.4,2790,8,60
47.6179,-122.312,654000,448061,205938,31.5,1530,8,10
47.6432,-122.057,549000,551730,-2730,-0.5,1920,8,34
47.4483,-121.773,290000,131049,158950,54.8,1010,7,43
47.5533,-122.363,275000,104076,170923,62.2,520,5,85
47.2089,-122.011,329990,347122,-17132,-5.2,2420,8,18
47.6382,-122.359,750000,582151,167848,22.4,1110,7,111
47.2069,-122.024,425000,252086,172913,40.7,1360,7,60
47.7263,-122.363,515000,649491,-134491,-26.1,2200,7,73
47.6379,-122.112,605000,535851,69148,11.4,1850,8,42
47.311,-122.21,250000,447801,-197801,-79.1,1640,7,97
47.7207,-122.222,330000,493008,-163008,-49.4,1340,7,54
47.5528,-122.221,984000,785935,198064,20.1,2390,9,53
47.5492,-122.008,827500,915103,-87603,-10.6,3920,9,15
47.389,-122.088,485000,529706,-44706,-9.2,2540,8,39
47.7279,-122.227,306000,401271,-95271,-31.1,1160,7,46
47.6332,-122.199,1890000,1125424,764575,40.5,4285,10,2
47.7657,-122.131,514000,608990,-94990,-18.5,2260,7,53
47.7466,-122.334,282613,307212,-24599,-8.7,830,6,61
47.2602,-122.284,309000,341954,-32954,-10.7,2481,8,1
47.515,-121.874,400000,244173,155826,39.0,1650,7,6
47.5324,-121.763,310000,77616,232383,75.0,1010,6,42
47.4945,-122.166,253200,109065,144134,56.9,1360,5,62
47.7183,-122.213,334009,397997,-63988,-19.2,1650,6,55
47.6103,-122.296,500000,311501,188498,37.7,1540,7,21
47.7283,-122.194,441500,436622,4877,1.1,1510,7,47
47.6807,-122.318,685000,929651,-244651,-35.7,2290,7,115
47.5704,-122.294,327000,321013,5986,1.8,1630,7,16
47.6581,-122.39,450000,341188,108811,24.2,1520,6,66
47.4687,-122.263,356000,675939,-319939,-89.9,2100,9,35
47.6501,-122.384,525000,365448,159551,30.4,1560,6,71
47.6384,-122.343,675000,353162,321837,47.7,1300,8,1
47.6347,-122.013,875000,1304281,-429281,-49.1,4720,11,10
47.3259,-121.896,345000,357565,-12565,-3.6,1990,8,28
47.5974,-122.017,695000,806333,-111333,-16.0,3150,9,14
47.7119,-122.23,350000,529757,-179757,-51.4,1620,6,94
47.6087,-122.016,695000,728368,-33368,-4.8,2790,9,16
47.3497,-122.317,400000,547211,-147211,-36.8,2320,8,17
47.5313,-122.351,330000,311102,18897,5.7,1129,7,62
47.4227,-122.332,265000,166473,98526,37.2,1290,6,61
47.7502,-122.374,630000,703975,-73975,-11.7,2290,8,38
47.7009,-122.317,312000,485997,-173997,-55.8,1460,7,90
47.3012,-122.218,156000,68523,87476,56.1,920,6,65
47.3859,-122.221,300000,396767,-96767,-32.3,3080,7,30
47.3535,-122.323,1225000,1524883,-299883,-24.5,3120,9,41
47.6567,-122.327,465000,454569,10430,2.2,1120,7,89
47.7053,-122.126,923990,915259,8730,0.9,3600,9,1
47.3342,-122.34,320000,410586,-90586,-28.3,2000,7,48
47.7391,-122.256,375000,405888,-30888,-8.2,1610,7,40
47.635,-122.284,985000,740034,244965,24.9,1670,8,103
47.6395,-122.203,850000,639980,210019,24.7,2310,8,49
47.7757,-122.132,474900,659368,-184468,-38.8,1800,8,39
47.5196,-122.151,997000,1067282,-70282,-7.0,3430,11,14
47.6763,-122.267,1302000,1013867,288132,22.1,3590,9,9
47.3491,-122.02,209900,4840,205059,97.7,1180,6,10
47.6103,-122.3,602000,465129,136870,22.7,1640,8,17
47.6052,-122.064,1228000,1631567,-403567,-32.9,5730,11,24
47.5762,-122.415,856000,604885,251114,29.3,2160,9,1
47.7184,-122.226,392000,482934,-90934,-23.2,1790,7,41
47.55,-122.272,500000,730808,-230808,-46.2,2900,8,56
47.3124,-122.352,230000,180382,49617,21.6,1500,7,31
47.6403,-122.35,1145000,891343,253656,22.2,2490,8,97
47.5221,-122.178,560000,695792,-135792,-24.2,3270,8,36
47.7625,-122.36,355000,670908,-315908,-89.0,1980,8,51
47.6378,-122.301,785000,701694,83305,10.6,2090,7,95
47.6032,-122.31,447500,295496,152003,34.0,1180,7,11
47.6958,-122.357,540000,525798,14201,2.6,1140,7,95
47.3128,-122.351,252000,231817,20182,8.0,1540,7,31
47.4492,-122.084,455000,371695,83304,18.3,2050,7,56
47.5602,-122.176,619850,613924,5925,1.0,2270,8,43
47.6256,-122.284,1250000,866637,383362,30.7,2070,9,85
47.6765,-122.32,495000,415390,79609,16.1,1580,8,1
47.6896,-122.357,540000,461866,78133,14.5,1270,7,89
47.3035,-122.283,286651,240465,46185,16.1,1830,7,11
47.4932,-122.263,261000,328534,-67534,-25.9,1780,7,58
47.5977,-121.976,830000,840403,-10403,-1.3,3330,9,11
47.527,-122.193,450000,592979,-142979,-31.8,2530,8,28
47.3375,-122.048,260000,34247,225752,86.8,1270,6,38
47.622,-122.195,1450000,909626,540373,37.3,2820,10,20
47.2641,-122.215,480000,864511,-384511,-80.1,3480,10,11
47.5331,-122.278,270000,424906,-154906,-57.4,1830,7,64
47.5703,-122.165,1160000,1149277,10722,0.9,4680,10,10
47.5114,-122.318,250000,330100,-80100,-32.0,1700,7,55
47.6172,-122.298,650000,450198,199801,30.7,1050,7,111
